"idade_posse","valor_total_declarado","nome_completo","municipio","partido","uf_nascimento","genero","grau_instrucao","estado_civil","declar_racial","reeleicao","declar_bens","situacao"
18,800,"SAMARA DOS REIS MARTINS","GARRAFÃO DO NORTE","PSB","PA","FEMININO","ENSINO MÉDIO COMPLETO","SOLTEIRO(A)","BRANCA","N","S","NÃO ELEITO"
23,488.65,"IVANETE DOS SANTOS REIS","BAGRE","MDB","PA","FEMININO","ENSINO MÉDIO COMPLETO","SOLTEIRO(A)","PARDA","N","S","NÃO ELEITO"
59,594.27,"PEDRO RODRIGUES DE JESUS","CAPANEMA","PT","BA","MASCULINO","LÊ E ESCREVE","CASADO(A)","PRETA","N","N","NÃO ELEITO"
63,5500,"JOSÉ BONIFACIO VIANA BARROSO","MARITUBA","PSD","PA","MASCULINO","ENSINO MÉDIO COMPLETO","CASADO(A)","PARDA","N","S","ELEITO"
63,3541.75,"LUIZ PEREIRA DOS SANTOS","JACUNDÁ","PODE","PA","MASCULINO","ENSINO MÉDIO COMPLETO","CASADO(A)","PARDA","N","S","ELEITO"
20,594.27,"YURY ROBERTO DIAS","CURUÇÁ","PT","GO","MASCULINO","ENSINO FUNDAMENTAL COMPLETO","SOLTEIRO(A)","PARDA","N","S","NÃO ELEITO"
34,424.5,"SALOMAO DE AZEVEDO DANTAS","OURILÂNDIA DO NORTE","PTB","RN","MASCULINO","ENSINO FUNDAMENTAL INCOMPLETO","SOLTEIRO(A)","PARDA","N","S","NÃO ELEITO"
18,6200,"WELYSON ALLEN MARTINS RECHENE","BELÉM","SOLIDARIEDADE","PA","MASCULINO","ENSINO MÉDIO COMPLETO","SOLTEIRO(A)","PARDA","N","S","NÃO ELEITO"
71,330,"MARIA DE FÁTIMA MAIA CARDOSO","TAILÂNDIA","MDB","PA","FEMININO","ENSINO MÉDIO COMPLETO","SOLTEIRO(A)","PARDA","N","S","NÃO ELEITO"
64,327.9,"CLAUDIO NAZARENO DA COSTA MONTEIRO","INHANGAPI","PDT","PA","MASCULINO","SUPERIOR COMPLETO","CASADO(A)","PARDA","N","S","NÃO ELEITO"
63,15000,"JUSCELINO DE SOUSA RAMOS","ANANINDEUA","PSDB","PA","MASCULINO","ENSINO MÉDIO COMPLETO","CASADO(A)","PARDA","N","S","NÃO ELEITO"
62,35,"ORLANDO GARCIA BRITO","SÃO JOÃO DE PIRABAS","MDB","PA","MASCULINO","SUPERIOR COMPLETO","CASADO(A)","BRANCA","N","S","ELEITO"
64,4736,"ANTÔNIO CARLOS PEREIRA DOS SANTOS","BARCARENA","PT","MA","MASCULINO","ENSINO MÉDIO COMPLETO","CASADO(A)","PARDA","N","S","NÃO ELEITO"
66,1738,"LAUDELINO DOS SANTOS","CAMETÁ","PSD","PA","MASCULINO","LÊ E ESCREVE","CASADO(A)","PRETA","N","S","NÃO ELEITO"
67,350,"FRANCISCO LIMA DE ABREU","NOVA IPIXUNA","PDT","MA","MASCULINO","ENSINO FUNDAMENTAL COMPLETO","CASADO(A)","PARDA","N","S","NÃO ELEITO"
36,1414,"LUCIANA SANTOS VILELA","BREU BRANCO","PTB","MA","FEMININO","SUPERIOR COMPLETO","SOLTEIRO(A)","BRANCA","N","S","NÃO ELEITO"
66,6090.25,"DJALMA JOSE AMARAL FERREIRA","BENEVIDES","DEM","PA","MASCULINO","ENSINO MÉDIO COMPLETO","SOLTEIRO(A)","PARDA","N","S","ELEITO"
20,838.4,"LAIANA PINHEIRO MERELES","LIMOEIRO DO AJURU","PL","PA","FEMININO","ENSINO MÉDIO COMPLETO","SOLTEIRO(A)","PARDA","N","S","NÃO ELEITO"
72,1347.5,"ADEMICO DA COSTA SILVA","ABAETETUBA","MDB","PA","MASCULINO","LÊ E ESCREVE","CASADO(A)","BRANCA","N","S","NÃO ELEITO"
63,2019.9,"BENELIDIO GOMES CONCEIÇÃO","SÃO JOÃO DO ARAGUAIA","PSDB","PA","MASCULINO","ENSINO MÉDIO COMPLETO","CASADO(A)","PARDA","N","S","NÃO ELEITO"
60,51757.32,"SANDRA MARIA CAMINHA FONSECA","BELÉM","PC do B","PA","FEMININO","SUPERIOR COMPLETO","SOLTEIRO(A)","BRANCA","N","S","NÃO ELEITO"
61,230,"ROBERTO SANTANA TEIXEIRA","ANANINDEUA","PRTB","PA","MASCULINO","ENSINO FUNDAMENTAL COMPLETO","CASADO(A)","SEM INFORMAÇÃO","N","S","NÃO ELEITO"
60,150,"JOSE RAFAEL VALENTE NETO","ALENQUER","PP","PA","MASCULINO","SUPERIOR COMPLETO","CASADO(A)","BRANCA","N","S","NÃO ELEITO"
19,200,"ALINE DE FÁTIMA BRASIL PASTANA","OURÉM","PSDB","PA","FEMININO","ENSINO MÉDIO COMPLETO","SOLTEIRO(A)","PRETA","N","S","NÃO ELEITO"
18,70.45,"IRIS NARA SANTOS DA COSTA","IPIXUNA DO PARÁ","DC","PA","FEMININO","ENSINO FUNDAMENTAL COMPLETO","SOLTEIRO(A)","PARDA","N","S","NÃO ELEITO"
60,1935.45,"DILSON LAMEIRA PICANÇO","ANANINDEUA","PV","AM","MASCULINO","SUPERIOR COMPLETO","CASADO(A)","PARDA","N","S","NÃO ELEITO"
22,400,"RUBEN ALVES VELOSO DOS SANTOS","ITAITUBA","AVANTE","PA","MASCULINO","ENSINO FUNDAMENTAL COMPLETO","SOLTEIRO(A)","BRANCA","N","S","NÃO ELEITO"
63,1550,"ANTONIO DA SILVA FERREIRA","NOVA ESPERANÇA DO PIRIÁ","PL","PA","MASCULINO","LÊ E ESCREVE","CASADO(A)","BRANCA","N","S","NÃO ELEITO"
64,630,"NIVALDO PARAENSE BARBOSA","SOURE","PRTB","PA","MASCULINO","ENSINO MÉDIO COMPLETO","CASADO(A)","PARDA","N","S","NÃO ELEITO"
60,70,"EDELSON DAVID DA SILVA VALLE","SOURE","MDB","PA","MASCULINO","ENSINO MÉDIO INCOMPLETO","CASADO(A)","BRANCA","N","S","NÃO ELEITO"
61,230,"JOAO BANDEIRA BARBOSA","SOURE","PSC","PA","MASCULINO","ENSINO MÉDIO COMPLETO","CASADO(A)","BRANCA","S","S","NÃO ELEITO"
42,2322.82,"HERMAR CABRAL LIMA","NOVO REPARTIMENTO","PSD","PA","MASCULINO","ENSINO MÉDIO COMPLETO","SOLTEIRO(A)","PARDA","N","S","NÃO ELEITO"
61,500,"FRANCISCO ASSIS NEVES DA COSTA","PONTA DE PEDRAS","PODE","PA","MASCULINO","LÊ E ESCREVE","SEPARADO(A) JUDICIALMENTE","PARDA","N","S","NÃO ELEITO"
61,5000,"ANTONIO CARLOS PALHA COELHO","BELÉM","PSL","PA","MASCULINO","SUPERIOR COMPLETO","SOLTEIRO(A)","PARDA","N","S","NÃO ELEITO"
66,320,"WILSON LUIZ DE ARAUJO SILVA","CAPANEMA","SOLIDARIEDADE","PA","MASCULINO","ENSINO MÉDIO COMPLETO","SOLTEIRO(A)","PRETA","N","S","NÃO ELEITO"
70,600,"JONAS FERREIRA DA SILVA","ANANINDEUA","PSB","PA","MASCULINO","ENSINO MÉDIO COMPLETO","CASADO(A)","PARDA","N","S","NÃO ELEITO"
65,1038,"MARIA DE FATIMA DAS NEVES CASTRO","CAPANEMA","MDB","PA","FEMININO","ENSINO MÉDIO COMPLETO","CASADO(A)","PARDA","N","N","NÃO ELEITO"
62,11645,"JOSE MARIA DE SOUSA DINELLY","BELÉM","PSC","PA","MASCULINO","ENSINO MÉDIO COMPLETO","CASADO(A)","PARDA","S","N","ELEITO"
69,1000,"MARIA DE JESUS RIBEIRO TORRES","BELTERRA","PSC","PA","FEMININO","ENSINO MÉDIO COMPLETO","SOLTEIRO(A)","PARDA","N","S","NÃO ELEITO"
62,880,"RAIMUNDO MENEZES DOS SANTOS","ACARÁ","PODE","PA","MASCULINO","ENSINO FUNDAMENTAL COMPLETO","CASADO(A)","PARDA","N","S","NÃO ELEITO"
61,2000,"SERGIO RIBEIRO","RURÓPOLIS","MDB","RS","MASCULINO","ENSINO MÉDIO COMPLETO","CASADO(A)","BRANCA","S","S","ELEITO"
20,2000,"NATALICIA DA SILVA NEBRA","REDENÇÃO","PSL","PA","FEMININO","ENSINO FUNDAMENTAL COMPLETO","SOLTEIRO(A)","PARDA","N","S","NÃO ELEITO"
21,2580,"VINICIOS DIEGO MELO PANTOJA","MELGAÇO","PSD","PA","MASCULINO","ENSINO FUNDAMENTAL INCOMPLETO","SOLTEIRO(A)","PARDA","N","S","NÃO ELEITO"
19,1100,"LUANE DO NASCIMENTO CORREA","IGARAPÉ-AÇU","REPUBLICANOS","PA","FEMININO","ENSINO MÉDIO INCOMPLETO","SOLTEIRO(A)","PARDA","N","S","NÃO ELEITO"
63,4316.68,"PEDRO TORRES LIMA","CURIONÓPOLIS","CIDADANIA","MA","MASCULINO","ENSINO FUNDAMENTAL INCOMPLETO","CASADO(A)","PARDA","N","S","NÃO ELEITO"
45,790,"MARCOS DE OLIVEIRA BATISTA","NOVA IPIXUNA","PT","ES","MASCULINO","ENSINO FUNDAMENTAL COMPLETO","SOLTEIRO(A)","PARDA","N","S","NÃO ELEITO"
67,1003.35,"ODINOR GARCIA DA SILVA","ALENQUER","PDT","PA","MASCULINO","ENSINO FUNDAMENTAL COMPLETO","DIVORCIADO(A)","BRANCA","N","S","NÃO ELEITO"
62,3000,"HELOISA HELENA DE SOUZA BARBOSA","TERRA SANTA","PSDB","PA","FEMININO","SUPERIOR COMPLETO","DIVORCIADO(A)","BRANCA","N","N","NÃO ELEITO"
63,380.18,"VLADIMIR JUAREZ MELO BATISTA","MARITUBA","PSOL","PA","MASCULINO","SUPERIOR COMPLETO","SOLTEIRO(A)","BRANCA","N","S","NÃO ELEITO"
68,1045,"NOEME SOARES AMARAL","BREVES","PT","PA","FEMININO","SUPERIOR COMPLETO","SOLTEIRO(A)","PARDA","N","S","NÃO ELEITO"
56,10200,"HELIO ROSARIO DE CARVALHO","CAPANEMA","PTB","SP","MASCULINO","ENSINO MÉDIO COMPLETO","CASADO(A)","BRANCA","N","S","NÃO ELEITO"
43,3969.49,"GLAUCIA RODRIGUES NASCIMENTO MEDEIROS","BELÉM","PATRIOTA","PA","FEMININO","SUPERIOR COMPLETO","CASADO(A)","BRANCA","N","S","NÃO ELEITO"
20,750,"CAILON HENRIQUE DA CONCEIÇÃO MOREIRA","SALVATERRA","PATRIOTA","PA","MASCULINO","ENSINO MÉDIO INCOMPLETO","SOLTEIRO(A)","PARDA","N","S","NÃO ELEITO"
45,1200,"MOISES DOS SANTOS OLIVEIRA","PARAGOMINAS","PSC","PA","MASCULINO","ENSINO FUNDAMENTAL INCOMPLETO","CASADO(A)","PRETA","N","S","NÃO ELEITO"
43,1000,"CLEOSON DA SILVA ARANHA","PORTO DE MOZ","MDB","PA","MASCULINO","SUPERIOR COMPLETO","SOLTEIRO(A)","BRANCA","N","S","NÃO ELEITO"
19,750,"ELIAS DE DEUS DOS SANTOS","SALVATERRA","PATRIOTA","PA","MASCULINO","ENSINO MÉDIO INCOMPLETO","SOLTEIRO(A)","PARDA","N","S","NÃO ELEITO"
63,3620,"RAIMUNDO OTAVIO VIANA MENDES","BELÉM","PSC","PA","MASCULINO","SUPERIOR COMPLETO","CASADO(A)","PARDA","N","N","NÃO ELEITO"
58,3200,"JOÃO BATISTA COSTA MOREIRA","SANTANA DO ARAGUAIA","DEM","MG","MASCULINO","ENSINO FUNDAMENTAL INCOMPLETO","CASADO(A)","BRANCA","N","S","NÃO ELEITO"
64,85000,"LUCILENE BASTOS FARINHA SILVA","BELÉM","PSDB","PA","FEMININO","SUPERIOR COMPLETO","CASADO(A)","PARDA","N","S","NÃO ELEITO"
63,2240.91,"LUIZ HELENO QUEIROZ DA COSTA","BELÉM","PV","PA","MASCULINO","ENSINO MÉDIO COMPLETO","CASADO(A)","SEM INFORMAÇÃO","N","S","NÃO ELEITO"
63,400,"APRONIANO SOARES PINTO JUNIOR","ANAJÁS","MDB","PA","MASCULINO","ENSINO MÉDIO COMPLETO","CASADO(A)","PARDA","N","S","NÃO ELEITO"
76,500,"ALEXANDRINO DE CASTRO EVANGELISTA","ALMEIRIM","PTB","PA","MASCULINO","ENSINO MÉDIO COMPLETO","CASADO(A)","SEM INFORMAÇÃO","N","S","NÃO ELEITO"
66,1500,"VERA LUCIA MAGALHAES DE FREITAS","MARAPANIM","REPUBLICANOS","PA","FEMININO","SUPERIOR COMPLETO","SOLTEIRO(A)","PARDA","N","N","NÃO ELEITO"
70,1898,"MARIA DA GRAÇA PEREIRA JORDÃO","BUJARU","PT","PA","FEMININO","ENSINO MÉDIO COMPLETO","DIVORCIADO(A)","PARDA","N","S","NÃO ELEITO"
63,2800,"SEBASTIÃO SANTOS SILVA FILHO","BELÉM","PC do B","PA","MASCULINO","SUPERIOR COMPLETO","CASADO(A)","PRETA","N","S","NÃO ELEITO"
62,1955,"LUIZ FERNANDO PINA DE MEDEIROS","IRITUIA","CIDADANIA","PA","MASCULINO","ENSINO MÉDIO COMPLETO","CASADO(A)","PARDA","N","S","NÃO ELEITO"
19,1410,"CHERLIANE SILVA SILVA","NOVA ESPERANÇA DO PIRIÁ","PP","PA","FEMININO","ENSINO FUNDAMENTAL INCOMPLETO","SOLTEIRO(A)","BRANCA","N","S","NÃO ELEITO"
62,504.6,"GILMAR SANTANA BALIEIRO","LIMOEIRO DO AJURU","PSC","PA","MASCULINO","ENSINO MÉDIO INCOMPLETO","CASADO(A)","BRANCA","N","S","NÃO ELEITO"
63,1000,"VERA LUCIA CEZARIO AZEVEDO","ANANINDEUA","PC do B","PA","FEMININO","SUPERIOR COMPLETO","VIÚVO(A)","PARDA","N","S","NÃO ELEITO"
66,594.27,"JOÃO PINHEIRO MEIRELES","CAPANEMA","PT","PA","MASCULINO","LÊ E ESCREVE","SOLTEIRO(A)","BRANCA","N","S","NÃO ELEITO"
68,500,"AFONSO SERRÃO RIBEIRO","PONTA DE PEDRAS","PTB","PA","MASCULINO","ENSINO MÉDIO COMPLETO","CASADO(A)","PARDA","N","S","NÃO ELEITO"
35,7183.15,"WILLIAMAR SOARES DE SOUSA","REDENÇÃO","PSD","PA","MASCULINO","SUPERIOR COMPLETO","CASADO(A)","PRETA","N","S","NÃO ELEITO"
65,3650,"MARIA DAS GRAÇAS NUNES DOS SANTOS","MARITUBA","PSD","PA","FEMININO","SUPERIOR COMPLETO","CASADO(A)","PARDA","N","S","NÃO ELEITO"
61,850,"NEIDE SILVA ROSA","CASTANHAL","PT","DF","FEMININO","ENSINO MÉDIO COMPLETO","VIÚVO(A)","PARDA","N","S","NÃO ELEITO"
64,2500,"ANA DE FATIMA RODRIGUES FERREIRA","ANANINDEUA","AVANTE","PA","FEMININO","SUPERIOR COMPLETO","CASADO(A)","PARDA","N","S","NÃO ELEITO"
63,624,"ANTONIO JOAQUIM DA CUNHA","ANANINDEUA","PDT","PA","MASCULINO","ENSINO FUNDAMENTAL COMPLETO","CASADO(A)","PARDA","N","S","NÃO ELEITO"
61,4950,"TEREZINHA DE JESUS DIAS PACHECO","SANTARÉM","PSDB","PA","FEMININO","SUPERIOR COMPLETO","SOLTEIRO(A)","PRETA","N","S","NÃO ELEITO"
62,12481.35,"LUIZ FERNANDO SADECK DOS SANTOS","ITAITUBA","MDB","PA","MASCULINO","SUPERIOR INCOMPLETO","SOLTEIRO(A)","BRANCA","N","S","NÃO ELEITO"
18,532.4,"CHAYANE MELO DE LIMA","IPIXUNA DO PARÁ","PL","PA","FEMININO","ENSINO MÉDIO COMPLETO","SOLTEIRO(A)","PARDA","N","S","NÃO ELEITO"
65,1774.27,"JUAREZ DA SILVA LEÃO","CACHOEIRA DO ARARI","PT","PA","MASCULINO","SUPERIOR COMPLETO","CASADO(A)","BRANCA","N","S","NÃO ELEITO"
19,534.7,"THIAGO NAHUM CARDOSO","BAGRE","PSD","PA","MASCULINO","ENSINO FUNDAMENTAL COMPLETO","SOLTEIRO(A)","PARDA","N","S","NÃO ELEITO"
41,897.54,"MARIA ALDAIRES DOS SANTOS","GARRAFÃO DO NORTE","MDB","PA","FEMININO","SUPERIOR COMPLETO","SOLTEIRO(A)","PARDA","N","S","NÃO ELEITO"
61,1470,"TEREZINHA DE FATIMA CARDOSO MONTEIRO","MARAPANIM","DEM","PA","FEMININO","SUPERIOR COMPLETO","SOLTEIRO(A)","PARDA","N","S","NÃO ELEITO"
65,1994.27,"MANOEL DE JESUS PALHETA ARAGÃO FILHO","ANANINDEUA","PT","PA","MASCULINO","SUPERIOR COMPLETO","SOLTEIRO(A)","PRETA","N","S","NÃO ELEITO"
69,1454.3,"MARIA DAS GRAÇAS COELHO","OEIRAS DO PARÁ","PDT","PA","FEMININO","ENSINO MÉDIO COMPLETO","DIVORCIADO(A)","BRANCA","N","S","NÃO ELEITO"
64,1699.85,"MANOEL DE CAMOES SANTANA","OEIRAS DO PARÁ","PDT","PA","MASCULINO","ENSINO MÉDIO COMPLETO","SOLTEIRO(A)","PARDA","N","S","NÃO ELEITO"
66,898.6,"RAIMUNDA XAVIER LOPES","OEIRAS DO PARÁ","PT","PA","FEMININO","ENSINO FUNDAMENTAL COMPLETO","SOLTEIRO(A)","PRETA","N","S","NÃO ELEITO"
62,1800,"IDEVALDO FERREIRA LEAO","BREVES","PSB","PA","MASCULINO","ENSINO FUNDAMENTAL COMPLETO","CASADO(A)","PARDA","N","S","NÃO ELEITO"
32,3047.16,"FERNANDO GUIMARÃES LEAL","SANTANA DO ARAGUAIA","PSB","MG","MASCULINO","ENSINO FUNDAMENTAL COMPLETO","SOLTEIRO(A)","BRANCA","N","S","NÃO ELEITO"
50,10500,"JOAO ROBERTO MENDES","ALTAMIRA","MDB","SP","MASCULINO","ENSINO FUNDAMENTAL COMPLETO","CASADO(A)","BRANCA","S","S","NÃO ELEITO"
19,1000,"ALIEL OLIVEIRA VIEIRA","CONCÓRDIA DO PARÁ","DEM","PA","MASCULINO","ENSINO MÉDIO INCOMPLETO","SOLTEIRO(A)","PARDA","N","N","NÃO ELEITO"
63,2814,"JOAO DE DEUS SOARES","ANANINDEUA","PRTB","PA","MASCULINO","SUPERIOR COMPLETO","DIVORCIADO(A)","BRANCA","N","S","NÃO ELEITO"
67,2800,"JURANDIR MARINHO DE AZEVEDO","SANTARÉM","PV","PA","MASCULINO","ENSINO MÉDIO COMPLETO","CASADO(A)","PARDA","N","S","NÃO ELEITO"
61,963.09,"CARLOS ORLANDO DE SOUZA MONTEIRO","MONTE ALEGRE","PSOL","PA","MASCULINO","ENSINO MÉDIO COMPLETO","DIVORCIADO(A)","PARDA","N","S","NÃO ELEITO"
63,545.45,"LUCIVALDO LISBOA LEAO","SANTARÉM","PL","PA","MASCULINO","ENSINO MÉDIO COMPLETO","CASADO(A)","PARDA","N","S","NÃO ELEITO"
66,1600,"EDMILSON FERREIRA DA SILVA","MARAPANIM","PL","PA","MASCULINO","SUPERIOR COMPLETO","CASADO(A)","PARDA","S","S","ELEITO"
61,3000,"NAHUM FERNANDES DA SILVA","BELÉM","PSB","PA","MASCULINO","SUPERIOR COMPLETO","SOLTEIRO(A)","PARDA","N","S","NÃO ELEITO"
65,185,"VALMIR MANOEL SANTANA","PIÇARRA","MDB","BA","MASCULINO","ENSINO FUNDAMENTAL COMPLETO","CASADO(A)","PARDA","N","S","NÃO ELEITO"
70,1502.5,"JOAQUIM VALÉRIO MARTINS","PIÇARRA","PSB","MA","MASCULINO","ENSINO FUNDAMENTAL INCOMPLETO","CASADO(A)","PARDA","N","S","NÃO ELEITO"
40,994,"EDGAR BARRETO BARBOSA","ANANINDEUA","AVANTE","PA","MASCULINO","ENSINO MÉDIO COMPLETO","CASADO(A)","BRANCA","N","S","NÃO ELEITO"
65,5000,"JOSÉ RAMOS RODRIGUES DOS SANTOS","MEDICILÂNDIA","PSC","TO","MASCULINO","ENSINO MÉDIO COMPLETO","SEPARADO(A) JUDICIALMENTE","PARDA","S","S","NÃO ELEITO"
63,2900,"CARLOS AUGUSTO CAXIAS PIMENTEL","BELÉM","PSC","MA","MASCULINO","ENSINO FUNDAMENTAL COMPLETO","CASADO(A)","PARDA","N","N","NÃO ELEITO"
62,5150,"PAULO SÉRGIO NOGUEIRA DA SILVA","SANTARÉM","PSDB","PA","MASCULINO","SUPERIOR COMPLETO","CASADO(A)","BRANCA","S","S","NÃO ELEITO"
64,475,"PEDRO CÉLIO RODRIGUES GUIMARÃES","SANTARÉM","PSDB","PA","MASCULINO","SUPERIOR COMPLETO","SOLTEIRO(A)","PARDA","N","S","NÃO ELEITO"
72,1840,"NUBIA MARIA ANGELINO NOGUEIRA","MOJUÍ DOS CAMPOS","MDB","CE","FEMININO","ENSINO FUNDAMENTAL COMPLETO","SOLTEIRO(A)","BRANCA","N","S","ELEITO"
69,296,"CLAUDIOMAR ELIAS DE MELO","IPIXUNA DO PARÁ","PDT","GO","MASCULINO","ENSINO MÉDIO COMPLETO","CASADO(A)","PARDA","N","S","NÃO ELEITO"
66,200,"FRANCISCO JOSÉ DE LIMA","ALTAMIRA","DC","PA","MASCULINO","LÊ E ESCREVE","SOLTEIRO(A)","PARDA","N","N","NÃO ELEITO"
62,864.6,"MARIA RITA DA SILVA UCHOA","SENADOR JOSÉ PORFÍRIO","PSC","PA","FEMININO","ENSINO MÉDIO COMPLETO","SOLTEIRO(A)","BRANCA","N","S","NÃO ELEITO"
61,1960.1,"GEDEON RAMOS DA SILVA","RONDON DO PARÁ","MDB","ES","MASCULINO","ENSINO MÉDIO COMPLETO","CASADO(A)","PARDA","N","S","NÃO ELEITO"
55,2320,"FRANCISCO FERREIRA DE CARVALHO","SANTANA DO ARAGUAIA","PSB","PI","MASCULINO","ENSINO MÉDIO COMPLETO","SOLTEIRO(A)","PRETA","N","S","NÃO ELEITO"
66,5624.7,"ANTONIO DOS ANJOS MESQUITA","CACHOEIRA DO PIRIÁ","MDB","MA","MASCULINO","ENSINO FUNDAMENTAL COMPLETO","CASADO(A)","BRANCA","N","S","ELEITO"
68,4400,"GUILHERME MULATO NETO","JACUNDÁ","PDT","MA","MASCULINO","ENSINO MÉDIO COMPLETO","CASADO(A)","PARDA","N","N","NÃO ELEITO"
70,150,"MARIA DAS GRAÇAS FERREIRA DE PONTES E SOUZA","SÃO JOÃO DE PIRABAS","PDT","PA","FEMININO","ENSINO MÉDIO INCOMPLETO","SOLTEIRO(A)","PRETA","N","S","NÃO ELEITO"
43,500,"JOSÉ CONCEIÇÃO DA CRUZ RAMOS","SANTA BÁRBARA DO PARÁ","PTB","PA","MASCULINO","ENSINO MÉDIO COMPLETO","SOLTEIRO(A)","BRANCA","N","S","NÃO ELEITO"
76,1940.9,"ANTONIO VALDO DA SILVA","BARCARENA","PL","CE","MASCULINO","ENSINO FUNDAMENTAL COMPLETO","CASADO(A)","PARDA","N","S","NÃO ELEITO"
59,2650,"ALDACIR FERREIRA DE SOUZA","BARCARENA","PODE","PA","MASCULINO","SUPERIOR COMPLETO","CASADO(A)","PARDA","N","S","NÃO ELEITO"
42,2398.71,"ALMIR CARLOS DA SILVEIRA","IRITUIA","PL","PA","MASCULINO","ENSINO FUNDAMENTAL INCOMPLETO","SOLTEIRO(A)","PARDA","N","S","ELEITO"
67,3030,"ANTÔNIO MAIA DAMASCENO","ANANINDEUA","PODE","CE","MASCULINO","SUPERIOR COMPLETO","CASADO(A)","PARDA","N","S","NÃO ELEITO"
66,1259.39,"RAIMUNDO ANTONIO DA SILVA","TAILÂNDIA","PL","PA","MASCULINO","ENSINO MÉDIO COMPLETO","VIÚVO(A)","PARDA","S","S","NÃO ELEITO"
63,600,"VERIDIANO SOUSA DE SALES","MOJUÍ DOS CAMPOS","MDB","PA","MASCULINO","ENSINO FUNDAMENTAL COMPLETO","CASADO(A)","PARDA","N","S","NÃO ELEITO"
61,500,"MANOEL ANTONIO RODRIGUES RABELO","AUGUSTO CORRÊA","PT","PA","MASCULINO","ENSINO FUNDAMENTAL COMPLETO","CASADO(A)","PARDA","N","S","NÃO ELEITO"
64,8499.7,"MARIA DA CONCEIÇÃO LOURENÇÕ OLIVEIRA","MARITUBA","PSD","PA","FEMININO","SUPERIOR COMPLETO","CASADO(A)","BRANCA","N","S","NÃO ELEITO"
64,3214,"MARIA ELIANA DOS ANJOS DO LAGO","ORIXIMINÁ","PSD","PA","FEMININO","SUPERIOR COMPLETO","CASADO(A)","PRETA","N","N","NÃO ELEITO"
65,17928.08,"REGINA DE FATIMA DA SILVA RODRIGUES","CASTANHAL","MDB","PA","FEMININO","ENSINO MÉDIO COMPLETO","DIVORCIADO(A)","PARDA","S","S","NÃO ELEITO"
61,2000,"INALVA ARAUJO DE SOUZA","ANANINDEUA","PSC","PA","FEMININO","ENSINO MÉDIO COMPLETO","DIVORCIADO(A)","PARDA","N","S","NÃO ELEITO"
62,5000,"SADRAQUE DAS CHAGAS SOSINHO","ANANINDEUA","PROS","PA","MASCULINO","ENSINO MÉDIO COMPLETO","CASADO(A)","BRANCA","N","S","NÃO ELEITO"
49,880,"DANIEL MARQUES DA SILVA","NOVO PROGRESSO","MDB","SP","MASCULINO","ENSINO MÉDIO COMPLETO","SOLTEIRO(A)","BRANCA","N","S","NÃO ELEITO"
64,6948.81,"MARIA AUXILIADORA RIBEIRO DOS SANTOS","SANTARÉM","MDB","PA","FEMININO","SUPERIOR COMPLETO","CASADO(A)","PARDA","N","S","NÃO ELEITO"
70,400,"MANOEL OSMARINO DE ARAÚJO","ANANINDEUA","PC do B","PA","MASCULINO","ENSINO FUNDAMENTAL COMPLETO","CASADO(A)","PARDA","N","S","NÃO ELEITO"
61,1240.02,"JOSÉ ORLANDO LIMA DA ROCHA","MARITUBA","REPUBLICANOS","PA","MASCULINO","ENSINO MÉDIO COMPLETO","CASADO(A)","PARDA","N","S","NÃO ELEITO"
61,120,"PAULO SERGIO MARQUES DE LIMA","BELÉM","PMB","PA","MASCULINO","ENSINO MÉDIO COMPLETO","DIVORCIADO(A)","PARDA","N","N","NÃO ELEITO"
61,6988.5,"JOANAIDIA FRANCO ROCHA","BELÉM","REPUBLICANOS","MA","FEMININO","SUPERIOR COMPLETO","CASADO(A)","PARDA","N","S","NÃO ELEITO"
33,1382.9,"EZAQUE HEITOR DE SIQUEIRA","TUCUMÃ","AVANTE","MG","MASCULINO","SUPERIOR INCOMPLETO","CASADO(A)","PARDA","N","S","NÃO ELEITO"
65,269.9,"MARCOS ANTONIO ASSAD ELIAS","BONITO","AVANTE","PA","MASCULINO","ENSINO FUNDAMENTAL INCOMPLETO","CASADO(A)","PARDA","N","S","NÃO ELEITO"
63,23006.89,"FERNANDES DE OLIVEIRA ANSELMO","ABAETETUBA","PL","PA","MASCULINO","SUPERIOR COMPLETO","SOLTEIRO(A)","PARDA","N","S","ELEITO"
63,439.8,"SEBASTIAO SANTOS TAVARES RESQUE","MARITUBA","PSD","PA","MASCULINO","SUPERIOR COMPLETO","CASADO(A)","BRANCA","N","S","NÃO ELEITO"
61,1200,"OSVALDINO DA COSTA LOPES","SALVATERRA","PDT","PA","MASCULINO","LÊ E ESCREVE","CASADO(A)","BRANCA","N","S","NÃO ELEITO"
44,1799.9,"JACIRA MARTINS LIMA QUIRINO","ANAPU","PSDB","TO","FEMININO","ENSINO MÉDIO COMPLETO","CASADO(A)","PARDA","N","S","NÃO ELEITO"
63,3006,"FRANCISCO DA COSTA CRAVEIRO","BARCARENA","PT","PA","MASCULINO","ENSINO FUNDAMENTAL COMPLETO","CASADO(A)","PARDA","N","S","NÃO ELEITO"
65,7762.2,"VALMIR ROBERTO TRINDADE VASCONCELOS","BELÉM","PTB","PA","MASCULINO","ENSINO MÉDIO COMPLETO","CASADO(A)","PARDA","N","S","NÃO ELEITO"
